"","Transect","ZoneName","Seagrass","no.scored","Time","Period","zone.sim","CvI"
"1","LGBDT3","Habitat Protection Zone",216,1900,"T1","Before","HPZ","Impact"
"2","LGBDT2","Multiple Use Zone",264,1900,"T1","Before","HPZ","Impact"
"3","LGBDT4","Multiple Use Zone",124,1900,"T1","Before","MUZ","Control"
"4","LGBDT5","Multiple Use Zone",248,1900,"T1","Before","MUZ","Control"
"5","LGBDT6","Multiple Use Zone",177,1900,"T1","Before","MUZ2","Control"
"6","LGBDT7","Multiple Use Zone",85,1900,"T1","Before","MUZ2","Control"
"7","LGBDT3","Habitat Protection Zone",233,1900,"T2","Before","HPZ","Impact"
"8","LGBDT2","Multiple Use Zone",264,1900,"T2","Before","HPZ","Impact"
"9","LGBDT4","Multiple Use Zone",113,1900,"T2","Before","MUZ","Control"
"10","LGBDT5","Multiple Use Zone",260,1900,"T2","Before","MUZ","Control"
"11","LGBDT6","Multiple Use Zone",167,1900,"T2","Before","MUZ2","Control"
"12","LGBDT7","Multiple Use Zone",83,1900,"T2","Before","MUZ2","Control"
"13","LGBDT3","Habitat Protection Zone",212,1900,"T3","Before","HPZ","Impact"
"14","LGBDT2","Multiple Use Zone",264,1900,"T3","Before","HPZ","Impact"
"15","LGBDT4","Multiple Use Zone",115,1900,"T3","Before","MUZ","Control"
"16","LGBDT5","Multiple Use Zone",245,1900,"T3","Before","MUZ","Control"
"17","LGBDT6","Multiple Use Zone",157,1900,"T3","Before","MUZ2","Control"
"18","LGBDT7","Multiple Use Zone",88,1900,"T3","Before","MUZ2","Control"
