"","sample","mass.30cm","X","clust","lon","lat","time","Period","CvI"
"1.32","170",410.204352689412,32,"1",115.3698333,-33.54165,"T1","Before","Impact"
"1.58","378",29296.8936101133,58,"1",115.3912,-33.5555833,"T1","Before","Impact"
"1.63","42",535.479155090676,63,"1",115.3862333,-33.5425167,"T3","Before","Impact"
"1.78","554",1823.69833808524,78,"1",115.3835167,-33.55765,"T2","Before","Impact"
"1.81","58",2230.63857354676,81,"1",115.3795833,-33.56965,"T1","Before","Impact"
"1.82","586",0,82,"1",115.38595,-33.5309167,"T3","Before","Impact"
"1.95","666",15407.4577930034,95,"1",115.35715,-33.5511167,"T3","Before","Impact"
"1.117","810",1445.71749645833,117,"1",115.3766,-33.5513333,"T2","Before","Impact"
"1.119","826",709.215030854837,119,"1",115.4005833,-33.5426833,"T2","Before","Impact"
"3.2","1038",641.907177218784,2,"3",115.4200167,-33.5333333,"T2","Before","Control"
"3.10","122",1405.72793433285,10,"3",115.4020833,-33.5375,"T2","Before","Control"
"3.16","12RC7",7029.54384592868,16,"3",115.41785,-33.5118,"T3","Before","Control"
"3.17","12RC8",5018.03901264955,17,"3",115.41815,-33.5148667,"T3","Before","Control"
"3.18","12RC9",39513.0797138018,18,"3",115.4064167,-33.5162167,"T3","Before","Control"
"3.19","135",1260.92215590197,19,"3",115.4207333,-33.50185,"T1","Before","Control"
"3.25","14",7258.35243660103,25,"3",115.4130333,-33.5296667,"T2","Before","Control"
"3.34","196",9144.42305228148,34,"3",115.4045,-33.5098167,"T1","Before","Control"
"3.43","270",6895.49488749526,43,"3",115.4206,-33.52045,"T2","Before","Control"
"3.61","391",8930.05737037689,61,"3",115.4101333,-33.50165,"T3","Before","Control"
"3.65","442",0,65,"3",115.41935,-33.5066,"T3","Before","Control"
"3.73","506",8452.36014841349,73,"3",115.4165,-33.5173833,"T2","Before","Control"
"3.90","634",6415.72040382418,90,"3",115.4141167,-33.5336667,"T1","Before","Control"
"3.100","698",7833.06539492928,100,"3",115.4035333,-33.5246167,"T1","Before","Control"
"3.108","762",0,108,"3",115.4149,-33.5198667,"T1","Before","Control"
"4.3","106",7800.87806043486,3,"4",115.3451333,-33.57825,"T3","Before","Control"
"4.14","12RC5",14494.8454214037,14,"4",115.3443,-33.5621333,"T1","Before","Control"
"4.15","12RC6",17917.6372673659,15,"4",115.3481333,-33.5711,"T3","Before","Control"
"4.41","26",5660.82340148148,41,"4",115.3236167,-33.5500333,"T2","Before","Control"
"4.47","282",686.376075346533,47,"4",115.3322333,-33.5571833,"T3","Before","Control"
"4.71","490",4733.0162239433,71,"4",115.3612,-33.5613,"T1","Before","Control"
"4.86","618",0,86,"4",115.3528167,-33.5678833,"T2","Before","Control"
"4.98","682",5456.84363850614,98,"4",115.3354167,-33.5696167,"T1","Before","Control"
"4.103","746",0,103,"4",115.3570667,-33.5794333,"T2","Before","Control"
"4.122","858",20788.303303682,122,"4",115.3461833,-33.5573167,"T1","Before","Control"
"27.6","112",13907.0077847937,6,"27",115.5224,-33.4052,"T1","Before","Control"
"27.7","11R2",280.898723478678,7,"27",115.5076167,-33.3967333,"T3","Before","Control"
"27.8","11R3",0,8,"27",115.5204667,-33.41215,"T2","Before","Control"
"27.29","16",0,29,"27",115.4986167,-33.3889,"T3","Before","Control"
"27.45","272",18578.4958270501,45,"27",115.4879333,-33.3815,"T2","Before","Control"
"27.51","316",17337.4369579923,51,"27",115.5281667,-33.3839667,"T2","Before","Control"
"27.67","448",240.403174632435,67,"27",115.4930667,-33.3965,"T3","Before","Control"
"27.70","48",205.614748616038,70,"27",115.5133833,-33.40275,"T2","Before","Control"
"27.84","60",257.794609792264,84,"27",115.5049333,-33.3626167,"T1","Before","Control"
"27.96","672",0,96,"27",115.53565,-33.4004333,"T1","Before","Control"
"27.104","748",6040.66423966503,104,"27",115.5138333,-33.3695667,"T1","Before","Control"
"27.109","764",11562.8074443861,109,"27",115.49605,-33.3744333,"T3","Before","Control"
